team_name,player_name,starting_position,xT_value,minutes_played
Atletico MG,Gustavo Scarpa,MR,3.006802336319026,1603
Cruzeiro,Matheus Pereira,Sub,2.991450128882064,1703
Vasco da Gama,Lucas Piton,DL,2.953047135499282,1793
Cruzeiro,Wanderson,AMC,2.571165028261754,1628
Red Bull Bragantino,Jhon Jhon,AMC,2.54403317688949,1751
Mirassol,Reinaldo,DL,2.501871076870229,1748
Internacional,Alexandro Bernabéi,DL,2.4918074258438283,1443
Sport Recife,Lucas Lima,MR,2.4721651415789063,1477
Corinthians,Matheus Bidu,DL,2.1614222889417984,1076
Palmeiras,Joaquín Piquerez,DL,2.1565742117834823,1682
Fluminense,Jhon Arias,AMR,2.0965820309416445,1196
Santos FC,Benjamín Rollheiser,AMR,2.079346495730574,1461
Sao Paulo,Cédric Soares,Sub,2.062893073693029,1487
Cruzeiro,William,DR,2.027961493654608,1245
Corinthians,Matheuzinho,Sub,2.0080440359645446,1608
Vasco da Gama,Paulo Henrique,DR,1.9804799310091288,1458
Mirassol,Lucas Ramon,DR,1.9318982227124248,1604
Bahia,Éverton Ribeiro,MC,1.9001378011273302,1191
Botafogo RJ,Alex Telles,DL,1.8654971602603625,1267
Vasco da Gama,Nuno Moreira,AML,1.8555484098371813,1593
Flamengo,Léo Ortiz,DC,1.8530878325167615,1776
Cruzeiro,Kaiki,DL,1.82718341887471,1969
Bahia,Luciano Juba,DL,1.8048612669806232,1834
Ceara,Fabiano Souza,DR,1.756017345789379,1779
Botafogo RJ,Artur,ML,1.705549823173168,1271
Sao Paulo,Ferreira,Sub,1.6921644824195339,1066
Bahia,Ademir,FWR,1.6857617742972784,1118
Botafogo RJ,Jefferson Savarino,MR,1.6240995424193758,1121
Internacional,Wesley,AML,1.6130509860197741,1343
Bahia,Erick Pulga,FWL,1.6103339060503825,1236
Atletico MG,Tomás Cuello,ML,1.6014220412289697,1120
Santos FC,Gonzalo Escobar,DL,1.596268368891693,1400
Corinthians,André Carrillo,Sub,1.5676336135161963,1007
Vitoria,Claudinho,DR,1.5654416691932682,970
Cruzeiro,Lucas Romero,Sub,1.5451038060720472,1891
Botafogo RJ,Vitinho,DR,1.506028346398649,1619
Mirassol,Edson Carioca,Sub,1.494758753804172,1192
Sport Recife,Igor Cariús,DL,1.4633766630284177,1295
Vasco da Gama,Philippe Coutinho,AMC,1.4547407773237513,1169
Red Bull Bragantino,Pedro Henrique,DC,1.4540005016774211,1844
Sao Paulo,Nahuel Ferraresi,Sub,1.4458440130931467,1593
Vitoria,Erick,Sub,1.425030952621248,913
Ceara,Matheus Bahia,DL,1.410947789332432,1262
Flamengo,Michael,AML,1.4105832078018377,489
Red Bull Bragantino,Juninho Capixaba,DL,1.3504505234139021,1212
Vitoria,Fabrício,Sub,1.3489196247936297,407
Sport Recife,Chrystian Barletta,Sub,1.343779603076192,1257
Sao Paulo,Enzo Díaz,Sub,1.3316633956108275,1408
Botafogo RJ,Marlon Freitas,MC,1.3086239907107415,1608
Fluminense,Kevin Serna,AMC,1.3082624062750607,900
Bahia,Gilberto,DR,1.3004698660084066,1349
Botafogo RJ,Mateo Ponte,Sub,1.275201631850635,418
Red Bull Bragantino,Andrés Hurtado,DR,1.257401189623334,1299
Ceara,Lucas Mugni,AMC,1.2550798341849576,1223
Internacional,Braian Aguirre,DR,1.2529372525589046,1694
Cruzeiro,Fágner,Sub,1.2467472375518696,808
Bahia,Jean Lucas,MC,1.238891991034507,1467
Sao Paulo,Alan Franco,DC,1.2296314396564216,1552
Fluminense,Renê,DL,1.2290277691676876,1109
Flamengo,Léo Pereira,DC,1.1950427066440263,1811
Flamengo,Alex Sandro,DL,1.1935132027545134,1052
Flamengo,Giorgian de Arrascaeta,AMC,1.1917033414699163,1389
Mirassol,Negueba,Sub,1.1509750746868967,957
Flamengo,Wesley,DR,1.1500298548918144,1058
Atletico MG,Júnior Alonso,DC,1.126290024845554,1716
Corinthians,Rodrigo Garro,AMC,1.109882833605485,845
Fluminense,Juan Pablo Freytes,DC,1.1086343921512363,1706
Palmeiras,Vitor Roque,FW,1.0871759964964316,1143
Santos FC,Neymar,Sub,1.0830392687839379,892
Santos FC,Álvaro Barreal,AMC,1.0826025935111112,1274
Bahia,Santiago Ramos Mingo,DC,1.0792243194259725,1859
Atletico MG,Guilherme Arana,DL,1.0683191176837812,664
Santos FC,Guilherme,AML,1.0456604365211706,1208
Mirassol,Danielzinho,DMC,1.029473150856037,1818
Palmeiras,Facundo Torres,AML,1.027871211938454,1245
Sao Paulo,Damián Bobadilla,Sub,1.0254233361715386,1276
Fortaleza,Tinga,DC,1.010289031786381,827
Fluminense,Samuel Xavier,Sub,1.0081395715096535,1269
Fortaleza,Lucca Prior,Sub,1.007955914964995,572
Ceara,Dieguinho,DMC,1.0072345019164752,2024
Vasco da Gama,José Rodríguez,Sub,0.9890946600858376,650
Sport Recife,Hereda,DR,0.9889186441872616,938
Bahia,Caio Alexandre,MC,0.9832566471171468,1294
Fortaleza,Matheus Pereira,DMC,0.9632573400382523,651
Gremio,Marlon,Sub,0.9608318680362985,1427
Cruzeiro,Fabrício Bruno,DC,0.9582869325415161,2103
Juventude,Jádson,MC,0.9572593355248484,1999
Fluminense,Gabriel Fuentes,Sub,0.9298223638284765,587
Gremio,Cristian Olivera,AMR,0.9290876919657767,1124
Vasco da Gama,Rayan,Sub,0.925496960913299,1638
Atletico MG,Natanael,DR,0.9242432794796502,1487
Corinthians,André Ramalho,DC,0.9001379318169447,1503
Sport Recife,Matheus Alexandre,Sub,0.8858666809308292,1016
Internacional,Bruno Tabata,Sub,0.8846672117986326,870
Palmeiras,Estêvão,AMR,0.8830726200971014,906
Mirassol,Neto Moura,DMC,0.8736675249584183,1356
Fluminense,Guga,DR,0.8675280220091871,711
Internacional,Alan Patrick,AMC,0.8551511363525904,1292
Botafogo RJ,Gregore,DMC,0.8540782918304373,1097
Juventude,Ewerthon,DR,0.8500266138885401,993
Corinthians,José Martínez,Sub,0.8451510034177268,982
Juventude,Mandaca,FW,0.829741810460787,1658
Atletico MG,Hulk,FW,0.8139517857630187,1450
Palmeiras,Agustín Giay,Sub,0.8064820928604401,1425
Red Bull Bragantino,Guilherme,Sub,0.8060399685961839,690
Vasco da Gama,João Victor,DC,0.8040819557002388,1594
Cruzeiro,Lucas Silva,Sub,0.8002700185839831,1851
Ceara,Antonio Galeano,AMR,0.8000854646757739,1903
